channel_location,date_creation,channel_name,views,videos,subscriptions,extration_date,icon,banner
Brasil,2009-04-20,Eduardo Costa,5246114481,956,7490000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/sYmu7FqmF38UTFUdAO6BQVNJVagHuje5FerGWewnBDtBTzw_8G2rRh-N1oMZTWU9kg_eBTUGw1w=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/3TVS15kvJfHwmnAzbBtX4U4NZYU-FuFaFkD3ae58Igl2gTIM_aYbzB1_TWfo5gVdkikv--ZrtAw=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2015-01-29,Emilly Vick,7718733336,697,18500000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/-j8MrNAuS0IHQpJGoWRnX0HMCzT6e213cd_Qcpl-Lrg41K0C3smPB3QrLxCf3dGGjdK_T8xTpu8=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/WFrNiJDf5eVDFJw2dGbhqbYeWA4oR4whjOzj00N3EalFR3Hewq0BHWzPWh5hIdrcFEoRmiN5HQ=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2012-11-07,Enaldinho,16621173566,4451,38100000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/ytc/AIdro_kpbE0CBfQfU2_pjrtSNZZd5j3-wvWNAh-vV7Rv2KpJnTg=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/4-HJBHezHY99llXA-PWFbASCaPRzFZgHQsVQbt4CeukTfSvYO-lSLArfIwfedPbpnIWxveRkHA=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2012-01-04,ESPN Brasil,4119558415,36650,6280000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/ytc/AIdro_ma030CksbiH0ueLUATKsGGEmZkmIdjFcS_uiI49Mton8Jz=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/q0wDoK0X15UGV021fVJI5YCaNVsP0-rn7tNBHIgOv6cgleR2VNlCM3-iUiuV-Ogq2czjBSeNtc4=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2018-04-18,Esporte na Band,159053581,8445,763000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/izG4Fp23xVwBDAKKgfKUW13csHcqtwq048eN8fR52teg0iKNsofPv7x9paFTcgsjH09d99eSzqc=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/D1pQ9hZ1M0Ve8wQUBcEjgmheD_0STmM-I_QVTvb7GAN_Np4GV2NtT8Hk7nyHnjQVKF6iTxRLRw=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2014-06-27,FixzTwo,11366868,52,105000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/2n1qSBoG_kIEWdLldjCdhTJUim8rrqwHMTSAS0dBCM9v-6IOSeMMnp7bMUOvTZiw15ex9LubGWc=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/-SB98QaPPRhCBB2cIDfbMTxdd4JkQpcs1_KnAE0807HH1fW5okYDo-JxZHg6NwOeCu41jG8VDg=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2012-12-16,Flakes Power,1566213701,1758,7040000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/ytc/AIdro_mZllPSNwmwdp-ZKB8_TtGtLxf1cu0hCWJsXufyRTgYT3Y=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/2T5Zy06rRc7kix7yI07X8l8ghwciLoZzgt3ta8j3LzjuGcZZQYHI8DRKSp_JFDf0VLKbuYeh=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Estados Unidos,2016-07-01,FloGrappling,216101009,3491,556000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/iUJUaTwhMCV-XID1vewN7v1ETKa1oHPRebfDi2FMbl_g4QKgLwIw1vN2LwLPi5bHFqmaxuBomA=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/rLHEDe8AE8km4apBCyb0bgn3xGud8MIy69puDbXwRAWUhL4pNQyLKoj1i5bX9OAqtabT2cDn2EI=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2016-12-29,FutParódias,4888220652,937,10600000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/43gv_N0qV_EXcXQkES6SFcXzEbPUgfXEfcRX9tNYjdf54fGHGwaed1E_jouI_SztDLCSaOJSDQ=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/v30gIXNkB6T9GNgfzClZ8Czn-nWiw2SDi6WoDjtELtxqFK2--rRfq970w-HLNIGlcSrsqxR4M9E=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2021-03-15,g1,360203838,11651,1080000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/5vzqGUywT581I0EMBfkiBxjDvxqH-rfvTEKsjxcEWDF4vqSt4MXVyM01dXydzWPeub1zQb0P=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/qlARH7IxnrUZl3HdDpQH9G6MTpzIJQS64p87EYpwna46KaHtTPvGXyo2Tf5rKklu8J_oJviKD_c=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
